     itr, time , potential ,strain(%)
         0 ,    0.00000E+00 ,    0.00000E+00 ,    0.00000E+00 , 
         0 ,    0.50000E-01 ,    0.37717E-01 ,    0.11872E-02 , 
         0 ,    0.10000E+00 ,    0.75285E-01 ,    0.21690E-02 , 
         0 ,    0.15000E+00 ,    0.11255E+00 ,    0.32241E-02 , 
         0 ,    0.20000E+00 ,    0.14938E+00 ,    0.43125E-02 , 
         0 ,    0.25000E+00 ,    0.18561E+00 ,    0.54162E-02 , 
         0 ,    0.30000E+00 ,    0.22111E+00 ,    0.65236E-02 , 
         0 ,    0.35000E+00 ,    0.25574E+00 ,    0.76259E-02 , 
         0 ,    0.40000E+00 ,    0.28935E+00 ,    0.87158E-02 , 
         0 ,    0.45000E+00 ,    0.32182E+00 ,    0.97871E-02 , 
         0 ,    0.50000E+00 ,    0.35302E+00 ,    0.10834E-01 , 
         0 ,    0.55000E+00 ,    0.38282E+00 ,    0.11852E-01 , 
         0 ,    0.60000E+00 ,    0.41110E+00 ,    0.12836E-01 , 
         0 ,    0.65000E+00 ,    0.43776E+00 ,    0.13781E-01 , 
         0 ,    0.70000E+00 ,    0.46269E+00 ,    0.14683E-01 , 
         0 ,    0.75000E+00 ,    0.48579E+00 ,    0.15538E-01 , 
         0 ,    0.80000E+00 ,    0.50696E+00 ,    0.16343E-01 , 
         0 ,    0.85000E+00 ,    0.52613E+00 ,    0.17094E-01 , 
         0 ,    0.90000E+00 ,    0.54322E+00 ,    0.17787E-01 , 
         0 ,    0.95000E+00 ,    0.55816E+00 ,    0.18419E-01 , 
         0 ,    0.10000E+01 ,    0.57090E+00 ,    0.18989E-01 , 
         0 ,    0.10500E+01 ,    0.58137E+00 ,    0.19492E-01 , 
         0 ,    0.11000E+01 ,    0.58955E+00 ,    0.19927E-01 , 
         0 ,    0.11500E+01 ,    0.59539E+00 ,    0.20293E-01 , 
         0 ,    0.12000E+01 ,    0.59888E+00 ,    0.20586E-01 , 
         0 ,    0.12500E+01 ,    0.60000E+00 ,    0.20806E-01 , 
         0 ,    0.13000E+01 ,    0.59875E+00 ,    0.20952E-01 , 
         0 ,    0.13500E+01 ,    0.59512E+00 ,    0.21022E-01 , 
         0 ,    0.14000E+01 ,    0.58915E+00 ,    0.21017E-01 , 
         0 ,    0.14500E+01 ,    0.58084E+00 ,    0.20937E-01 , 
         0 ,    0.15000E+01 ,    0.57024E+00 ,    0.20780E-01 , 
         0 ,    0.15500E+01 ,    0.55738E+00 ,    0.20548E-01 , 
         0 ,    0.16000E+01 ,    0.54231E+00 ,    0.20242E-01 , 
         0 ,    0.16500E+01 ,    0.52510E+00 ,    0.19862E-01 , 
         0 ,    0.17000E+01 ,    0.50582E+00 ,    0.19411E-01 , 
         0 ,    0.17500E+01 ,    0.48453E+00 ,    0.18888E-01 , 
         0 ,    0.18000E+01 ,    0.46133E+00 ,    0.18297E-01 , 
         0 ,    0.18500E+01 ,    0.43630E+00 ,    0.17640E-01 , 
         0 ,    0.19000E+01 ,    0.40954E+00 ,    0.16919E-01 , 
         0 ,    0.19500E+01 ,    0.38117E+00 ,    0.16136E-01 , 
         0 ,    0.20000E+01 ,    0.35129E+00 ,    0.15295E-01 , 
         0 ,    0.20500E+01 ,    0.32002E+00 ,    0.14399E-01 , 
         0 ,    0.21000E+01 ,    0.28748E+00 ,    0.13452E-01 , 
         0 ,    0.21500E+01 ,    0.25381E+00 ,    0.12456E-01 , 
         0 ,    0.22000E+01 ,    0.21913E+00 ,    0.11416E-01 , 
         0 ,    0.22500E+01 ,    0.18358E+00 ,    0.10336E-01 , 
         0 ,    0.23000E+01 ,    0.14731E+00 ,    0.92205E-02 , 
         0 ,    0.23500E+01 ,    0.11046E+00 ,    0.80727E-02 , 
         0 ,    0.24000E+01 ,    0.73167E-01 ,    0.68977E-02 , 
         0 ,    0.24500E+01 ,    0.35587E-01 ,    0.56999E-02 , 
         0 ,    0.25000E+01 ,   -0.21344E-02 ,    0.44840E-02 , 
         0 ,    0.25500E+01 ,   -0.39847E-01 ,    0.32548E-02 , 
         0 ,    0.26000E+01 ,   -0.77402E-01 ,    0.20170E-02 , 
         0 ,    0.26500E+01 ,   -0.11465E+00 ,    0.77542E-03 , 
         0 ,    0.27000E+01 ,   -0.15145E+00 ,   -0.46511E-03 , 
         0 ,    0.27500E+01 ,   -0.18764E+00 ,   -0.16998E-02 , 
         0 ,    0.28000E+01 ,   -0.22310E+00 ,   -0.29237E-02 , 
         0 ,    0.28500E+01 ,   -0.25767E+00 ,   -0.41322E-02 , 
         0 ,    0.29000E+01 ,   -0.29122E+00 ,   -0.53205E-02 , 
         0 ,    0.29500E+01 ,   -0.32362E+00 ,   -0.64840E-02 , 
         0 ,    0.30000E+01 ,   -0.35474E+00 ,   -0.76181E-02 , 
         0 ,    0.30500E+01 ,   -0.38446E+00 ,   -0.87185E-02 , 
         0 ,    0.31000E+01 ,   -0.41265E+00 ,   -0.97808E-02 , 
         0 ,    0.31500E+01 ,   -0.43922E+00 ,   -0.10801E-01 , 
         0 ,    0.32000E+01 ,   -0.46404E+00 ,   -0.11775E-01 , 
